duck_id,total_distance,avg_speed,max_speed,avg_acceleration,x_range,y_range,start_frame,end_frame,duration,points
duck_1,2475.4670677894064,12.134642489163758,253.85231927244627,0.0,251,442,1867,2071,204,197
duck_2,2231.3999181141107,11.269696556131873,277.91545476997135,0.0,231,333,1867,2065,198,171
duck_3,2398.7033569236123,12.176159172201078,230.9328906847182,0.0,239,457,1867,2064,197,166
duck_4,2544.546205642564,14.457648895696387,269.4679943889441,0.0,250,440,1867,2043,176,129
duck_5,2422.3839239966983,14.50529295806406,357.80581325629686,0.0,252,457,1867,2034,167,113
duck_6,1541.081742043353,14.138364605902321,267.0,0.0,138,301,1867,1976,109,70
duck_7,1018.4333062520176,11.981568308847265,263.4274093559742,0.0,414,346,1869,1954,85,28
